Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
Progressive encephalomyelitis with rigidity responsive to plasmapheresis and immunosuppression.,"Fogan, L","The stiff-man syndrome is reported in a 55-year-old woman who also had signs of severe bulbar musculature hypercontraction. These clinical features correspond to the progressive encephalomyelitis with rigidity syndrome. Diazepam was minimally beneficial, but after treatment with plasmapheresis and corticosteroids, she was still asymptomatic when seen 5 years later.",1996,/,Annals of neurology,40,3,451-3,,,8797535,101,Fogan 1996,,Clinical manifestations; Treatment
The insulin-dependent diabetes mellitus-associated ICA 105 autoantigen in stiff-man syndrome patients.,"Martino, G; Grimaldi, L M; Bazzigaluppi, E; Passini, N; Sinigaglia, F; Rogge, L","The pathogenetic role of anti-glutamic acid decarboxylase (GAD) antibodies found in up to 60% of patients with stiff-man syndrome (SMS) is still controversial. GAD, in fact, is also one of the major target antigen of insulin-dependent diabetes mellitus (IDDM), a disease affecting one third of anti-GAD antibody-positive patients with SMS. To better define the role of autoimmunity in SMS we looked for molecular and immunological evidence of an autoimmune recognition of a second IDDM-associated autoantigen, the pancreatic 37/40 kDa IDDM-autoantigen, whose gene called ICA 105 has been recently cloned. By Northern blot analysis we found that tissue distribution of human ICA 105 is restricted to pancreas and brain and within the central nervous system (CNS) its distribution is similar to GAD. We also measured anti-ICA 105 antibodies in 11 SMS patients and 56 control patients with other neurological diseases (OND). Anti-ICA 105 antibodies were found in 4/11 (36%) patients with SMS (a frequency similar to that of anti-GAD-antibodies in our SMS population) but in only 2/56 (3%) patients with OND (P < 0.001). Anti-ICA 105 and anti-GAD antibodies were associated in 3/4 (75%) patients with SMS but in none of the 2 anti-ICA 105 antibody-positive OND patients. Among anti-ICA 105 antibody-positive patients with SMS, only 1 suffered also from IDDM. In contrast, the only 2 anti-ICA 105 antibody-positive with OND had IDDM. Our results indicate that ICA 105 represents another putative neuroendocrine autoantigen in SMS. The presence of circulating anti-GAD and/or anti-ICA 105 antibodies might help the diagnosis of SMS. The absence, however, of antibodies recognising specific CNS autoantigens (e.g. GAD, ICA 105) does not rule out SMS.",1996,/,Journal of neuroimmunology,69,01-Feb,129-34,,,8823384,102,Martino 1996,,Immunological - Lab tests
Electrophysiological evaluation of the stiff-man syndrome: further data.,"Martinelli, P; Nassetti, S; Minardi, C; Macri, S; Ippoliti, M",,1996,/,Journal of neurology,243,7,551-3,,,8836947,103,Martinelli 1996,,Electrophysiology
"Subacute encephalomyelitis presenting as stiff-person syndrome: clinical, polygraphic, and pathologic correlations.","Armon, C; Swanson, J W; McLean, J M; Westbrook, P R; Okazaki, H; Kurtin, P J; Kalyan-Raman, U P; Rodriguez, M","A 60-year-old woman presented with stiff-person syndrome (SPS). Treatment with diazepam controlled her painful spasms initially. Two and one-half years after the onset of SPS, new spells of paroxysmal leg jerking and apnea developed. A spell was recorded with simultaneous video and polygraphic techniques that revealed simultaneous firing of motor unit potentials in several muscles (paraspinal, internal hamstring, and abdominal muscles). Apnea was associated with arterial oxygen desaturation. An increase in the dose of diazepam decreased the number and severity of these episodes. Seventeen months later, the patient began to taper the diazepam dose. Shortly thereafter, she had a cardiorespiratory arrest and subsequently died. Autopsy showed small chronic inflammatory foci in the pancreas (some associated with islets) and findings of diffuse encephalomyelitis characterized by perivascular cuffing in the spinal cord, brainstem, thalamus, hippocampus, and amygdala and a dense mononuclear infiltrate in the anterior horns of the lumbar and cervical cord, with relative preservation of axons and myelin. Cell typing showed this infiltrate was polyclonal and reactive. There have been rare cases of SPS associated with encephalomyelitis reported previously. Although the prolonged course in our patient suggested that SPS may have preceded encephalomyelitis, the more likely explanation is that the patient had an unusually long course of encephalomyelitis alone.",1996,/,Movement disorders : official journal of the Movement Disorder Society,11,6,701-9,,,8914097,106,Armon 1996,,Clinical manifestations
"Total alopecia, diabetes mellitus, and falls.","Mueller-Schoop, J W; Meyer, M",,1996,/,"Lancet (London, England)",348,9039,1420,,,8937282,108,Mueller-Schoop 1996,,
Stiff-man syndrome: abnormal late responses upon transcranial magnetic stimulation.,"Schulte-Mattler, W J; Zierz, S",,1996,/,Muscle & nerve,19,7,926-7,,,8965855,110,Schulte-Mattler 1996,,Clinical manifestations; Electrophysiology; Treatment
Anti-gabaergic neuron autoantibodies in a patient with stiff-man syndrome and ataxia.,"Giometto, B; Miotto, D; Faresin, F; Argentiero, V; Scaravilli, T; Tavolato, B","We describe a patient with autoimmune insulin-dependent diabetes whose original symptoms of trunk stiffness and rigidity of the abdomen were followed three years later by a pancerebellar syndrome. An autoantibody (autoAb) against GABAergic neurons was found in the patient's serum and cerebrospinal fluid (CSF); on Western blot, this autoAb recognized a 64-kDa antigen of cerebellar protein. The detection of this antibody in a case with ataxia suggests that a spectrum of different neurological diseases may be observed in patients harbouring anti-GABAergic neuron autoAb and supports the concept that factors other than autoAb contribute to the clinical presentation of these disorders.",1996,/,Journal of the neurological sciences,143,01-Feb,57-9,,,8981298,112,Giometto 1996,,Clinical manifestations; Electrophysiology; Treatment
Gastrointestinal involvement in neurologic disorders: Stiff-man and Charcot-Marie-Tooth syndromes.,"Soykan, I; McCallum, R W","Many neurologic conditions can affect the striated muscle of the gastrointestinal tract, resulting in dysphagia. In this article, two patients with rare neurologic disorders are reported (Stiff-man syndrome and Charcot-Marie-Tooth syndrome). Both patients had pharyngeal dysphagia. In addition, there was evidence of smooth muscle involvement in other areas of the gastrointestinal tract, specifically abnormal esophageal motility and delayed gastric emptying. In the English literature, there are only two reports of Stiff-man syndrome and dysphagia, and there are no reports of Charcot-Marie-Tooth syndrome. These represent the first accounts of smooth muscle dysfunction in those uncommon neurologic disorders.",1997,/,The American journal of the medical sciences,313,1,70-3,,,9001170,113,Soykan 1997,,Clinical manifestations; Electrophysiology; Treatment
The stiff leg syndrome.,"Brown, P; Rothwell, J C; Marsden, C D","Four patients had a chronic progressive disorder beginning in middle age and involving stiffness and painful spasms of the lower limbs. Spasms were spontaneous, reflex, and induced by voluntary movement. Patients had rigidity and abnormal postures of one or both legs. There was no truncal rigidity or exaggerated lumbar lordosis. Despite the presence of symptoms for up to 16 years, symptoms and signs of brainstem, pyramidal, and sensory dysfunction were absent. Sphincter disturbance developed after many years in one patient. Extensive investigation, including imaging of the whole neuroaxis, failed to disclose a cause. Anti-GAD antibodies were absent. Baclofen and diazepam led to some reduction in the painful spasms, but patients remained disabled by the condition. There were four core electrophysiological features. (1) Continuous motor unit activity was present at rest in at least one limb muscle. (2) Spasms tended to involve the repetitive grouped discharge of motor units. (3) Cutaneomuscular reflexes were abnormal. (4) There was little or no electrophysiological evidence of long tract disturbance. The patients form a characteristic syndrome, separate from the stiff man syndrome, and distinguishable from encephalomyelitis with rigidity. It is suggested that the condition is due to a chronic spinal interneuronitis.",1997,/,"Journal of neurology, neurosurgery, and psychiatry",62,1,31-Jul,,,9010397,114,Brown 1997,,Clinical manifestations; Electrophysiology; Treatment
Improvement of stiff-man syndrome with vigabatrin.,"Prevett, M C; Brown, P; Duncan, J S",,1997,/,Neurology,48,4,1133-4,,,9109919,115,Prevett 1997,,Clinical manifestations; Electrophysiology; Treatment
Antibodies to 125I-glutamic acid decarboxylase in patients with stiff man syndrome.,"Vincent, A; Grimaldi, L M; Martino, G; Davenport, C; Todd, I","Antibodies to glutamic acid decarboxylase (GAD) are found in about 40% of patients with stiff man syndrome. A new assay involving immunoprecipitation of (125)I-glutamic acid decarboxylase was used to measure anti-GAD antibodies in 18 patients with stiff man syndrome. Of the eight serum samples from patients with stiff man syndrome, that had previously been found positive by immunoprecipitation of (35)S-GAD, seven were strongly positive with (125)I-GAD and one gave an equivocal result. Other serum samples from patients with stiff man syndrome and from controls were negative except one from a patient who had a thymoma, acquired neuromyotonia, and myasthenia gravis. Nine of 35 serum samples referred for testing were positive; in two of these the serum titre was 20-50 times higher than that in the CSF. This assay should prove useful in the diagnosis, management, and investigation of stiff man syndrome.",1997,/,"Journal of neurology, neurosurgery, and psychiatry",62,4,395-7,,,9120459,116,Vincent 1997,,Clinical manifestations; Electrophysiology; Immunological - Lab tests; Treatment
